f_preferred_name,Mg,Mg_err,K,K_err,Eu,Eu_err,f_name,f_p,f_p_min_err,f_p_max_err,f_m_p,f_m_p_min_err,f_m_p_max_err,f_e,f_e_min_err,f_e_max_err,f_a,f_a_min_err,f_a_max_err,
HIP 12048 ,0.20 ,0.12 ,0.29 ,0.04 ,0.48 ,0.22 ,b ,75.523 ,0.055 ,-0.055 ,0.26 ,0.02 ,-0.02 ,0.25 ,0.05 ,-0.05 ,0.36 ,0.01 ,-0.01 ,
HIP 99607 ,-0.26 ,0.07 ,0.09 ,0.04 ,0.44 ,0.11 ,,,,,,,,,,,,,,
HIP 64792 ,0.25 ,0.10 ,0.29 ,0.24 ,0.15 ,0.11 ,b ,None ,None ,None ,4.0 ,4.5 ,-1.0 ,None ,None ,None ,43.5 ,None ,None ,
HIP 23835 ,-0.03 ,0.08 ,0.19 ,0.04 ,0.37 ,0.11 ,,,,,,,,,,,,,,
HIP 88348 ,0.23 ,0.22 ,0.01 ,0.04 ,0.13 ,0.11 ,b c d e ,1207.0 75.74 12.458 41.763 ,4.0 0.06 0.003 0.012 ,-5.0 -0.05 -0.003 -0.012 ,0.365 0.0409 0.01259 0.0331 ,0.0315 0.00944 0.00315 0.0031 ,-0.0378 -0.00629 -0.00315 -0.0031 ,0.08 0.12 0.12 0.086 ,0.06 0.11 0.13 0.083 ,-0.05 -0.09 -0.08 -0.06 ,2.16 0.341 0.103 0.2292 ,0.03 0.004 0.001 0.0026 ,-0.03 -0.004 -0.001 -0.0027 ,
HIP 36640 ,-0.45 ,0.11 ,-0.29 ,0.25 ,-0.40 ,0.11 ,,,,,,,,,,,,,,
HIP 30503 ,0.12 ,0.08 ,0.43 ,0.04 ,0.79 ,0.11 ,b c ,5.8854 13.1354 ,0.0003 0.0026 ,-0.0003 -0.0025 ,0.0384 0.0277 ,0.0033 0.0034 ,-0.0032 -0.0032 ,0.07 0.07 ,0.05 0.07 ,-0.05 -0.05 ,0.0644 0.11 ,0.002 0.0034 ,-0.0021 -0.0036 ,
HIP 14632 ,0.19 ,0.11 ,0.06 ,0.04 ,0.12 ,0.04 ,,,,,,,,,,,,,,
HIP 75049 ,0.01 ,0.06 ,-0.04 ,0.04 ,0.15 ,0.11 ,b ,187.83 ,0.54 ,-0.54 ,1.5 ,None ,None ,0.191 ,0.085 ,-0.085 ,0.83 ,None ,None ,
HIP 7981 ,0.10 ,0.09 ,0.04 ,0.04 ,0.13 ,0.25 ,,,,,,,,,,,,,,
HIP 91949 ,0.29 ,0.12 ,0.23 ,0.04 ,0.03 ,0.11 ,,,,,,,,,,,,,,
HIP 60719 ,-1.61 ,1.20 ,-0.92 ,1.10 ,-1.15 ,0.11 ,,,,,,,,,,,,,,
HIP 85810 ,0.12 ,0.14 ,0.08 ,0.15 ,0.36 ,0.38 ,,,,,,,,,,,,,,
HIP 79672 ,0.11 ,0.14 ,-0.03 ,0.21 ,0.36 ,0.28 ,,,,,,,,,,,,,,
